Short,Long,Class,Opinion
“Unexpected stop over”,"We stayed at the Bella Vista during our recent summer holiday, we had no booking and just turned up in the reception looking for accommodation for one night. The hotel provided excellent value by including dinner and breakfast in the very reasonable nightly rate. The dinner was simple but delicious, it was served over a long period, almost as if they were waiting for all the guests to be there, so it may be rather annoying if you wanted to eat early; but it suited us just fine. Drinks consumed at dinner are paid for at check out and were reasonably priced. Breakfast was a buffet and provided a good start to the day. Overall the hotel was exceptional value, very clean and anything we required was well catered for by responsive staff. I only wish we had known about the hotel and could have stayed longer. Room Tip: We were at the front of the hotel, so the early traffic for the Selvio pass was evident, which did n... See more room tips",couple,POS
“Fantastic experience”,"This hotel really deserves its name, bella vista. It is surrounded by beautiful nature and the views are fantastic wherever you look. The hotel is extremely well managed, every little detail is carefully thought through. The hosts are very friendly and are determined to make your stay a pleasant one. We spent a week there this summer and could not be more satisfied. Every morning the hotel offered us suggestions for walks, trips to interesting places in the area and other activities. The hotel is very suitable for children--the hosts have made sure that your kid won’t get bored. We will be happy to go there again!",family,POS
“A great little hotel in an fantastic Italian alpine valley”,"My wife and I stayed at this hotel recently. What a great little gem of a hotel in a magestic little valley high in the Italian Dolomites. The owner was warm and welcoming, speaks great English, German and Italian and made every effort to see that we had a great stay. The rooms are super clean and the beds and bedding are extremely comfortable. We missed breakfast on the last day so they insisted that we have capucino and kuchen before we left and even packed sandwiches for the next part of our vacation. Just up the road is Pragersee or Lago di Braies the pearl of the Dolomites! Just down the road is the famous Tre Cime di Lavaredo in the heart of the Dolomites! We'll be back to this gem in the Dolomites!",couple,POS
“Thumbs up from Team Canada”,I stayed here as part of Canada's National Fly Fishing Team in the summer of 2011. Our stay here was fantastic with clean rooms and fantastic scenery. A nice family run business with great hospitality. The food was very good and the beer great too!,friends,POS
“A great place to stay in wonderful surroundings”,"This family run hotel is well managed with large, clean rooms. The family is very caring about their guests. food is plentiful and served well. A great place to stay on the doorstep of some fabulous trekking around the Lago de Braies area. Room Tip: The rooms seemed to all have good views of either the mountains or the church of St. Vite across the... See more room tips",friends,POS
“Picturesque and peaceful setting”,"Situated at the edge of a small village, in a green valley with gorgeous views,this hotel had a great charm. The rooms were spacious, very clean and comfortable, bathrooms were state of the art. Most rooms have balconies ,which were overflowing with flowers when we visited in the third week of September.We could hear the church bells and cow-bells from the valley. The hotel is on the road to Lago de Braies (walking distance if you are fit) , but the road is very quiet at night.The food was plentiful (supper is a five-course affair; in the morning, one chooses one of two options for that evening's meal.) and great packed lunches were provided for a reasonable fee for our hiking trips.The owners were very nice and accomodating.The Alto Adige area has a great system of public transport -there is even a bus going to Tres Cines. The area is a bit remote from larger towns; this was not a drawback to us but might be for disco-goers. Room Tip: East-facing rooms on the higher floor have a long view into the valley See more room tips",friends,POS
“Beautiful holiday!”,"My wife and i, just came back from our holiday at the hotel Cristallo. We are enormous statisfied about the hospitality. The manager and host, Phillip the family and staff as well. They know how to get you feel comfortable. The hotel is excelent situated. We had a clean comfortable room with a magnificent view of the Ortler and mountain peaks. The hotel has also an excelent cuisine, wich make your breakfast and dinner a special experience, every day again. We certainly can warmly recommend this hotel in the heart of the Stelvio Region. Room Tip: Ask for a room with a balcony and a view toward the Ortler. See more room tips",couple,POS
“Excellent family hotel in awesome setting”,"We stayed here 5 days with our 3 kids (17, 15 and 11) in July and we are absolutely positive about this hotel. Filip and his wife make you feel like home. Clean and big rooms (try to get these with front view), tasty breakfast and excellent food for supper with good wine at surprisingly reasonable prices. Bring your bikes and climb the Stelvio or take the bus to the Reschensee and """"downhill"""" with the kids to Merano (and take the train back). They ecven wash you bike cloths for free!! Don't miss the family BBQ in a unique setting on thursday noon or one of the guided walks in the Alps. Just perfect for a week of quality time with your family, highly recommended! Room Tip: Front side rooms have excellent view on the mountains and the village!! See more room tips",family,POS
“One of the Greatest Alpine Hotels”,"I have visited the Alps every year for 30+ years and the family run Hotel Cristallo is by far the best! Located in a remote mountain valley of Italy's South Tirol, the Cristallo's long time chef is exceptional and offers interesting choices every night. The staff is friendly and eager to please and the owners have great suggestions for hikes, excursions, and local lore. Great for hikers in the summer or skiing in the winter. Room Tip: Ask for a room looking towards the peaks of the Ortler Mountains. See more room tips",friends,POS
“An absolute gem!”,"I just returned to the US after spending a week in early July at the Hotel Cristallo. The hotel is wonderfully situated with views of the Ortler and surrounding peaks from many of the bedrooms. The rooms are clean, comfortable and decorated in typical South Tyrolean style. The hotel makes a great base from which to explore the hiking trails in the nearby mountains. Hotel staff lead guided hikes and cycling tours and can also advise guests who may wish to explore independently. The dining room and cuisine are absolutely outstanding...the warm croissants filled with apricot jam at breakfast are to die for. I can't recommend this hotel highly enough! Room Tip: Ask for a view toward the Orlter and Konigspitz. See more room tips",friends,POS
“A gem in a beautiful mountain valley”,My wife and I recently stayed 1 night during a driving tour of the Dolomites. The hotel is situated in a beautiful remote valley with mountains all around and a short walk to 3 lifts to access the many hiking paths. The family running this hotel were always polite and helpful. We booked the room with half board package and the food and wine was exceptional and therefore a great value. The whole place was very clean. We wished that we could have stayed longer. Room Tip: Get a room facing the mountains at the front of the hotel. See more room tips,couple,POS
“Go! It is a perfect location and experience in every way!”,"There is nothing but praise for the hotel, location, staff, food. Everything gets a ten plus. I look forward to my next visit early summer hopefully.",None,POS
"“Wonderful family hotel, very good value”","We stayed for 4 nights in February, with friends of ours who have 2 little kids. The hotel was lovely, and perfect for kids. Lots of kid programs available, and lots of kids to play with. As we finished dinner, the kids left the table and headed off to run around with their new friends, leaving us to finish quietly. Lovely location in apple orchards, very quiet.",family,POS
“Summer holidays”,"We already reserved a room last year and again we were very pleased with the hotel. The whole family was looking forward to be at the Parkhotel Holzner. The program for the kids offered again different activities which they liked very much. The kids knew already some friends from last year so it was quickly a group which had a lot of fun. And the parents just had some time to relax and enjoy the excellent food, wine and the just the whole environment around the Hotel. Just excellent, we will come again!",family,POS
“Absolute Perfection”,"In several decades we have never stayed at a place that combined such magnificent surroundings, comfortable rooms, superb food and outstanding service! To sit in the indoor-outdoor pool looking out at the surrounding Dolomite Mountains is alone worth the stay. The imaginative international food service was worth signing up for """"Halbpension"""". My wife had the best massages (including foot) there. The service includes suggestions for hikes and sightseeing from there , guided and unguided. There are many easy walks in beautiful scenery, woods, fields, mountain views, directly out of the hotel without driving. The Hotel is at the terminal for the cable car to Bolzano as well as at the stop of the narrow gage railroad that runs to neighboring villages on this scenic, high plateau, so one can get away without driving. There is a free card from the hotel (and from others as well) for free rides on the cable car, railroad, museums and the train from Bolzano to Merano. The only down side is finding the hotel if you are driving. Besides the daunting, winding road from the Autostrada to Soprabolzano, there are very few helpful road signs and a complete lack of signs to the Hotel. We were literally guided there by a kind local with his car. The Holzner family literature writes that they strive for perfection in their hotel and we must say they have achieved it. Room Tip: Rooms with a view of the mountains and a terrace are more expensive. We had a room that faced the st... See more room tips",couple,POS
“Pleasant lunch”,We took the cable car up to Oberbozen and went to the hotel for lunch. We sat on the terrace and enjoyed the view with a cool breeze on a very hot day. The food was reasonable although not exciting. The staff were very efficient and helpful.,couple,NEG
“Perfection in a perfect setting.”,"Oh God, this hotel is absolutely marvellous. The review below that said the rooms are somehow old-fashioned made me laugh, because one of the fabulous things about the hotel is that the original Art-Deco style in the reception rooms is immaculately preserved and beautifully maintained! Even the light fittings are original, and incredibly lovely. Where do I start with my praise? The staff are fantastic and you become quietly aware over your stay of the deep pride they have in this establishment. And some of them have been there for decades. I must also mention our fellow guests who were without exception the most courteous fellow guests I've ever come across. Not annoyingly over-friendly, just courteous. As soon as they recognise you, they nod quietly. It's hard to describe. And although the place is stuffed to the gunwales with young families, not once were we irked by a wailing child or a spoiled toddler. Many of the groups holidaying together were not only three-generational, they had been going there for years and years. Position couldn't be more convenient. It's beside the cable car that brings you up from Bolzano, and also the narrow-gauge railway that will trundle you to Klobenstein. You can hear neither of these from a few yards away, incidentally. There's a ton to do at the hotel - they've thought of everything. Little pedal cars for toddlers, wooden steps up to the reception desk and a colouring sheet for children bored while their parents talk to the reception staff. Tennis courts. A marvellous, ultra-modern indoor and outdoor pool connected by a narrow channel. A lovely garden that supplies the hotel flowers. And every morning they produce a leaflet (""""journal"""") suggesting things to do, activities that the hotel is arranging, and giving interesting bits of local history. Breakfast is simply the best hotel breakfast I've ever had. A wonderful array of food displayed in portions that are constantly replenished and never get a bit dry and curled up. Bread you can slice yourself. Eggs and pancakes freshly cooked as you like them on a griddle and served with a flourish and a smile. Oranges you can squeeze yourself (in a proper orange squeezer, I should add), and a veg juicer. And the most delicious cakes and pastries that disappear too quickly. Just fabulous. If I have a tip for British travellers, it is that the food in the restaurant was very salty to our taste. We learned on night 3 to say, """"not too salty"""" when we made our order, and enjoyed the food much better as a result. Also, it is a surprise that there's such a small choice of food on offer in the dining room. Three starters, three mains and two puddings or cheeseboard. My partner was disappointed by this, he'd have liked more choice, but to my mind it means that everything is wonderfully fresh. And South Tyrolean food is slightly heavy compared with modern British food - lots of dumplings! - and as I adore dumplings, this was a dream for me. But my partner is not a dumpling fancier, so I add this just in case it affects your choice. I think if we go back (and I certainly hope we do) I might be more adventurous and not do half-board, so that we have a choice. There are other places to eat in the area, and I have no doubt the hotel would arrange transport because there seemed to be nothing they wouldn't do for you. All in all, this is a remarkable hotel - 4 generations in the same family - in a ravishing part of the world. The beauty is heartstopping - I cannot reccommend it too heartily.",couple,POS
“one of a kind”,"This part of the world is like a fairy tale and the best way to enjoy it is Holzner. The staff was omnipresent and ready to help in any way. The food was excellent. And I was happy to show off my pink tennis shoes when I got home (red clay courts). We had 2 new, very modern rooms a bit away from the main building so it was as quiet and as functional as could be. Kids are well cared for it looks so it makes for some pretty happy adults in a very friendly atmosphere. We're going back as soon as we can. Room Tip: take the 3 rooms in their own little building just off the main preoperty - best of all worlds. See more room tips",family,POS
“Feels Like Home”,"I've been going to this hotel since I was 6 years old (21 now), and it really is a home away from home. The Holzner find a way to make this hotel an upscale and sophisticated vacation retreat while still being an extremely family-style environment. The grounds are vast and beautiful, and the upgrades over the past few years (spa, pool, ...) have really brought the place to a new level. Soprabolzano is a paradise in the Alps, and I would never consider going anywhere else when traveling in the area. Room Tip: The 4 rooms down below by the garden are absolutely beautiful and perfect in the summer. You have y... See more room tips",family,POS
“Not a hotel where I would go back to”,"The hotel is well located, personnel is kind, but I believe there is a lot of work to be done there. The atmosphere wasn't ideal to me, I never felt home and the old style is not appealing to me I guess. Food needs a lot of improvement, they use lots of cream and tomato sauce, which is not my favorite. We thought we'd find a vegetarian menu as red on their web site, but there was really nothing vegetarian, they just adjusted to us cooking funky veg food such as cotolette di verdure.... The SPA is not bad, it has 3 saunas and steam bath, a lovely pool and it's cozy, but again, not my style. I don't think the price is fair for what you find.",couple,NEG
“Loved our stay at Alte Muehle!!”,"My wife, dog, and I stayed for 4 days in February and thoroughly enjoyed every minute of it! Beatrice and her staff were courteous, friendly, and did their best to ensure our comfort. The rooms were clean and well apportioned, and every meal was fantastic. The hotel is centrally located and within a quick walk to the """"downtown"""" of Campo Tures. If you want to hike, bike, or ski, the area provides multiple opportunities, and Beatrice can point you in the right direction. The spa is quaint, but very worthwhile. We won't even look for another place to stay when we go back to Northern Italy!",couple,POS
“Stayed the week before Christmas”,"Wonderful time at this hotel. I love the service and the FOOD!!!! This Hotel is kid friendly, clean and should be 5 stars! Big rooms, great amenities, all inclusive, affordable! Beatrice, her husband and all the staff are just a breath of fresh air! WE enjoyed our vacation and would go back next year if we were still in Europe. I highly recommend! We had 2 rooms because there are 6 of us total and they gave us side by side rooms and they were gorgeous! Huge bathtub which makes up for not having a hot tub! The sauna, pool, outside sitting area and dinning room were top notch! Thanks Beatrice and staff! Happy New year from the Fukumitsu's! Room Tip: The first year we stayed in the across the street room that was a 2 bedroom with kitchen. Very larg... See more room tips",family,POS
“Friendly atmosphere and excellent for holidays”,"We enjoyed the SPA, friendly atmosphere and the local food. especially the little things have surprised us every day, such as room service, daily motto etc.. The inclusion in the Michelin Guide is absolutely justified.",family,POS
“Great hotel to stay in while enjoying the region!”,"Several of our friends come to this place year after year during the winter for a week of skiing, tobogganing, etc. They rave about this place. We joined them this year and they were right! The staff is friendly and helpful, the food is wonderful, and the hotel is a warm and inviting place to return to after a day in the snow. I highly recommend it!",family,POS
“FAMILY PARADISE”,"Friendly atmosphere, very well located for summer, but also winter holiday, nevertheless you are single, couple or family. The level of food is absolutely above 4 stars standards and the ovners are prepared to hale every time. Room Tip: Hotel web pages:-) See more room tips",family,POS
“Warm and beautiful”,We enjoyed care for details and excellent food! The hotel and personnel express typical South Tyrolean warmth and style. Our room was spacious and comfortable. We can recommend the hotel for its reasonable price to service ratio.,family,POS
“Horrible service AVOID the restaurant at all cost”,"Horrible SERVICE in the restaurant. When told to the service about the unclean baby chair, the most intelligent answer he could came with was """"I took it from the storage, a baby used it not long ago and any they are always dirty... nothing bad has happened"""" Just plain stupid !!! How can you say that to a parent of a toddler? To fire on a spot , not kidding!",None,NEG
"“Very nice hotel, gluten free food excellent too”","Very nice hotel, very nice staff, excellent food bot for coeliacs and for the rest of us too. Recommended!",family,POS
“top hotel for a relax holiday”,very fine location nearly all rooms have view on meran and the mountains very friendly service excellent restaurant largely above average wellness and spa very good all rooms with air conditioning,couple,POS
“The best ever service”,"We are traveling a log, we seen many hotels ( due to our prefession) and we never expected such a great service we experience in Feldmilla! We love Feldmilla, I would love to go there more often. Specially winter time is interesting ( no crowd!) The best food! The best service! Really, I am impressed! Just go there. Many thanks and congratulations to owners, that they had a courage to create this place! Room Tip: Design rooms with balcony ( mountain view)! See more room tips Green Features: Imagine that they are buying food from local farmers - no argentinina steak:) Everything fresh and organic taken directly from local small producers! I love it!",couple,POS
“A lovely hotel with a conscience!”,We stayed just one night at this special little hotel. The owner gave our party a talk about the hotel's carbon neutral status and that is just so impressive. I really appreciate all their efforts. We had a great wine tasting with our dinner - their sommelier was knowledgable and really nice. I loved our room - sleek and romantic with a tub that looks out onto a private deck. I wish we had more time at the hotel and to explore the area,friends,POS
“wunderbar / wonderful”,"Feldmilla is one of the best hotels in which I've ever had the pleasure to stay. Sometimes hotel websites mislead you, making the place seem much nicer than it really is. Not in this case. In person Feldmilla is just as beautiful if not more so. Even by the very high standards of hotel hospitality in the Alto Adige / Sudtirol (which, IMO, are among the best in the world) Feldmilla is a standout. And the price / quality ratio to me seems simply unbeatable. The place is close to perfection. The rooms are very large, super clean and very comfortable. They have excellent bathrooms with high quality fixtures. The architect did a great job of providing visuals from the guest rooms and public areas to the gorgeous mountains around Campo Tures (which is one of the prettiest towns in the whole region). If you like the relaxing sound of running water you can open your balcony window to hear the scenic, small river that runs through Campo Tures, just a few meters away. The food is absolutely excellent. For the past 10 winters or so I’ve been coming to the Trentino / Alto Adige area to ski and have stayed in many very good hotels in Canazei, Moena, Ponte di Legno, and other places in Northern Italy. The food at Feldmilla is in another league. It has more variety and sophistication and is presented with great art and style, as in a “nouveau cuisine” restaurant. The details are very well done— for instance it has one of the best salad and breakfast bars I’ve ever seen. Very fresh and flavorful ingredients. The chef is very talented and generally prepared the dishes (fish, vegetarian, meat, pastas, risottos, soups, whathaveyou) with subtlety. The Spa area is hands down the best of any place I’ve been to below the 5 star level. If you compare it to similarly priced hotels in Italy (and, no doubt Europe in general) there is no competition. It is much larger, better equipped, and more beautiful. Again here, small details are not overlooked. There is a small self-service “bar” in the sauna/pool area that offers mint tea, mineral water and fresh fruit. Also the steam bath has a bucket with homemade rosemary salt that you rub on your skin to assist the skin cleansing process. After a few days my skin felt almost as smooth as a baby’s. One feature that you often don’t find in similar places is the spa’s large “pine” lounge, with many pine wood planks emitting a lovely fragrance in a reduced lighting, cool lounge that can’t help but relax you. Finally, the hotel and dining room staff are very professional, pleasant and helpful— without being at all intrusive. Feldmilla is a family owned and run operation and that makes a noticeable positive difference in the level of service compared to a manger run, corporate-owned place. The owners are very pleasant and, just like their staff, were available to assist or help when we needed it.",friends,POS
“You need to go there”,"Do you want to enjoy a great experience into a very fashionable environment with warm and nice people around you ? Go and stay at Feldmilla ! It worth the money you spend. Rooms are really nice and spacious. Service is warm and the atmoshere is really coasy (thanks to the family and the team that are always present and vigilant in order to fulfill all your needs, you really feel pampered!). Food is excellent and the position is very quite and relaxing: you are in the middle of the nice village of Campo Tures (Sand in Taufers) and you can enjoy the nice life of the village while always counting on the calm and relax given from the Aurino (Ahr) river flowing nearby. Definitely worthy for a vacation ! Room Tip: Ask for rooms overlooking the river, much nicer in terms of view in respect to the one fronting the... See more room tips",family,POS
“Very pleasantly surprised.”,"Stayed May 2014. Looking for a place to stay close to the Dolomites and Bressanone, we found Hotel Hochrain after looking at a couple of hotels nearby. It immediately appealed. The courteous and friendly Fundneider family showed the 4 of us rooms which we immediately loved. Great views from good sized balconies. Very clean and nicely furnished. A problem with the free internet in our room was quickly solved with a smile. Christian, you are a credit to your industry. We couldn't have asked for more during our 2 night stay. The restaurant food and service (and price) was fabulous. If ever we return we would stay again and will highly recommend.",friends,POS
“Our favorite hotel”,"This was probably our 8th or 9th trip to the Hochrain, a 30 room family owned and operated hotel in the Pusteral valley just above Bressanone,in the sudtirol of Italy. the family Fundneider is always so gracious and accommodaitng, the food is so good and draws people from all around as well as hotel guests. It's like coming home, we have our usual beautiful spacious room looking across the meadow at the village and the mountains and all the apple orchards. There is a free health spa and large brick pizza oven and several different dining room to eat inside or out. Across the road from the hotel begin several hiking trails and we love the one around the lake. About a 20 minute hike below the hotel will take you to the Neustif Monastery where they make their own wines and is a lovely place for lunch or dinner. There is bus service down into the town of Bressanone or you can drive. It is a beautiful old city of about 20,000 people with elegant shops and nice restaurants. The Hochrain is also perfectly located for taking day trips into the Dolomites, such interesting and scenic drives whether winter or summer and the big ski center of Plose is nearbye and worth a visit no matter what time of year..The food, the accommodations, the service, the value and cost and the location all help to make the Hochrain a very special place. We have never met any other Americans there which is rather nice but everyone seems to speak some English as well as German and Italian. We plan to try and return next year again. The winter is lovely but Spring and Fall in the mountains are particularly great and you can see so much further. Room Tip: All the rooms are good but we have the larger one with seating area and balcony in the new wing and... See more room tips",friends,POS
“The best of the Alto Adige revisited!”,"Here we are back again for the 4th time, and it gets better each time. Always have the same lovely room waiting for us with views of the surrounding apple orchards and mountain villages. Food is first class, ask for the mushroom tortellini , best pasta we've ever eaten anywhere! Family Fundneider as always very welcoming and helpful. A trip down the valley to Bressannone is worthwhile,lots of fine shops and restaurants. A great jumping off spot to tour the surrounding Dollomiti and villages. Just a Short 3 hr. trip from Munich! Room Tip: I doubt there is a bad room in the house, but the newer wing has more spacious rooms with balconies. See more room tips",couple,POS
“Nice place to stay near the Brennero pass”,"If I needed - wanted to stay in Italy, near the border of Brennero (40km), my best choice would be to stay in Varna, which is 1.8 km from the beautiful and interesting historical old town of Bressanone/Brixen with expensive hotels [Price/Value]. The Lowenhoff is situated at the entrance of Varna. Its a very comfortable hotel with free underground parking with elevator connecting to your room's floor. The reception's staff is very helpful an gentile. The building is the typical Tyrolean type with big public area which was under renovation. The room was big, comfy, clean, quiet, well heated with nice view.the bathroom was very good as well. Both seemed to be recently renovated. Good WIFI. The breakfast was very good. We paid eur 90.00 for a double including breakfast. excellent price/Value.",couple,POS
"“Quiet, comfortable, hotel”","We had a very comfortable room with a balcony. It was nice to be able to go onto the balcony and look out at the beautiful mountains. The front desk staff spoke multiple languages, Italian, English, and German. We enjoyed a very nice breakfast that was a mixture of meats, cheeses, and fresh breads. They also provided cooked eggs and bacon for those interested. I'm sure they offered more than that, but those are the only extra items we requested.",friends,POS
“Lots of room”,"My family and I stayed here for two nights the weekend prior to Christmas to enjoy the market in nearby Bressanone. We stayed in an apartment and loved all the room. When you travel with small children, the more room, the better. I enjoyed having all the amenities of home such as a kitchen and all the utensils needed to prepare things if I needed to. The beds were very comfortable and the apartment was very clean. We enjoyed the restaurant very much and ate there both nights of our stay. Our particular waitress took care of both nights and treated my children with much love and attention (something very important to me). We did not get to use the spa or pool facilities do to the limited time we had to spend. If you are planning on visiting the Christmas market in Bressanone, it is about a 20-25 minute walk to the center along a gorgeous bicycle path. The experience was wonderful and the staff was extremely helpful in getting us situated to do the things we wanted to do. My only complaint is the price. It was a bit over-priced regardless of how much room we had. Our breakfast was suppose to be included in our price but when we check in, I was informed it was. I think for such a high price, breakfast should be included.",family,NEG
“This is a fantastic place”,"We were in one of the properties of the hotel and we were in a """"comfort"""" room but the same apply for the room where my son was that was a standard one. The place is immaculate, ultra clean, rooms have a nice balcony facing the green and the river. Staff is super attentive and helpful. We got a free Brixen cards that allows you to enter a large number of Museums, Activities, places and free transport. You also get free access to the wellness centre of the hotel. Breakfast was super. They allowed my little Westie without problem and at no extra fee I was there for work and only one night but we have decided to get back for few days because the hotel is amazing an an amazing city!",family,POS
“Best Little Secret”,"This hotel was rated as a 3 star hotel but I would have to say it met all our requirements with updated bathroom , Beautiful views. quiet,.excellent breakfast buffet. We toured Italy for 3 weeks starting in the north and going to south andback up to Rome. This was our favourite spot of all and will definitely return. It was the best hotel of our trip. Room Tip: All the rooms are the same EXCELLENT!!!! See more room tips",family,POS
“We found a jewel in South Tirol”,"We stayed for four days in this place deserving all superlatives. Very conveniently located to visit the surrounding mountains of South Tirol. The hotel is ran by the owners. Charming persons that are fully dedicated to make their hotel the best place were to stay and to come back. The place is very well maintained. All rooms and amenities are in perfect condition. Our bedroom was absolutely clean and well equipped. All furniture in plain wood,Very comfortable bed, flat screen TV, WIFI, superb view over the mountain skyline. Very silent at night, we enjoyed nice restructuring deep sleep. The owners have assembled an impressive collection of a wide variety of gems and giant mineral crystals that are exhibited around all the places in the hotel including in the saunas or the bedrooms. A dedicated room is gathering the most exclusive items of the collection. You get the view on the mountains from the indoor swimming pool and jacuzzi thanks to an immense veranda. There are 4 different types of sauna baths (steam, salted, dry). Gems are present in all of them, one of the steam sauna is entirely fitted with minerals. There is a well fitted fitness room and water beds all in excellent condition. The owner is also the Chef. He serves a delicious cuisine based on traditional dishes presented in style. The wine list has an excellent selection of Tirol wines worth to discover. Overall an unforgettable experience. We will come back. Room Tip: Considering the general architecture of the hotel, all rooms seems to enjoy a nice view over the mou... See more room tips",couple,POS
“Worldloppet Ski Trip 2014”,"1. WiFi works in common areas (2nd floor noisy common room, and entrance foyer), but need Hotspot Account information (username and password) from reception. WiFi did not work in rooms 303 or 307 2. Locker room with keys for lockers was open when we arrived at 11am, located ground floor next to lift, lift is located to the right of the internal stairs 3. ski room in basement (floor -1) has space for ski bags, bench for your waxing clamps and power outlet (unsure whether old Italian power outlets) 4. no European power outlets in rooms, reception supplied Italian connection with European conversion when requested. 5. noisy common room with schoolchildren or skypers - go downstairs to entrance foyer or adjoining """"teachers' dining room' to avoid 6. automatic light switching so you can end up reading or toileting or showering in the dark...therefore always take torch during darkness 7. when arriving, there are toilets up the stairs on the first floor 8. room 303 is opposite washing teeth basins room 9. room 304 is opposite showers (2 in lockable room) 10. room 305 is opposite toilets(1 log cubicle - grab toilet paper before sitting because the dispenser is located 5metres from seat!, 1 disabled cubicle, TAKE TORCH if going for number two's during evening 8.",None,POS
“Good for easy people”,"This youth hostel is different from the others: Good points: 1) you can have a room with private bathroom 2) you can have a half - pension service 3) is very easy to have contacts with other guests 4) is just in front of the train station .... so very easy to arrive by train or bus 5) kitchen staff very friendly Less good points: 1) if you go in low season you can have a hotel for the same price and a better service 2) room are not cleaned even if you stay for a week 3) reception staff helpful but could be more friendly 4) the """"restaurant"""" has only one menu...so if you have special needs (e.g. vegetarian) is better to tell in advance at the staff.",couple,NEG
“Incredible!”,"The room was beautiful, huge, clean, and beautifully decorated. The breakfast spread included the best cheese, salami, and pastries that I have ever had. Perfect location. Friendly, helpful, and kind host. Absolutely amazing!",None,POS
"“Friendly, spotless, good location”","This small garni is located just 'above the centre' and in 5 mins by taking the underpass you are in the centre of San Candido. The rooms are mini apartments with wood furniture, they are light and spacious and all have a balcony with tables and chairs. WIndows / doors are double glazed . Fantastic mountain views. The living / dining area has a small but very well equipped kitchen corner , 2 ring hobb, fridge and kettle. Microwaves and other items are available on request. The kitchen is closed off but it looks as if its in a wardrobe ( very cleverly thought out). The sofa bed is comfy and has a 'proper mattress'. Bathrooms have a shower and double sink area, natural light and are spacious. The main bedroom has comfy beds, and a large wardrobe. The family are welcoming, friendly and cannot do enough to help you. Breakfast is pleasant with a variety of items and complementary afternoon tea is very refreshing. There is a small garden with chairs and loungers and a few play items. DOwnstairs you can find a small childrens play area and a sauna. The hotel also rent bikes and strollers/ buggies should you need one. Room Tip: I have stayed here twice in 2 differnt rooms and found the room situation and the views great from b... See more room tips",family,POS
“Modern but a little noisy”,"Large modern hotel near Dobbiaco railway station, with some spa facilities. Comfortable if slightly functional rooms. Good breakfast. The hotel has busy roads on both sides so is a little noisy if you leave windows open.",friends,NEG
“back after two years”,"I went back after two years. Still the same. We enjoy the location because it's near the centre of Dobbiaco. Just an advice, this time we had a room street side. It is bit noisy cause it's the principal street (Dolomitenstrasse) and there is a bit of traffic. My advice is to ask for a room/apartment at the other side (garden side). Also, better pay a little more for a renewed appartment. Other reviews say the owner is not nice, that's not true, he is cold, which is differente from beign rude. In any case he'll help you if you need advice or everything. Room Tip: renewed apartment and garden side room/apartment See more room tips",couple,NEG
“Walking off the kilos!”,Our last week of a 5 week holiday - and walking in the Dolomites was fantastic - and to wake up each day and come back each afternoon to welcoming staff was wonderful. Also excellent massage staff and spa facilities - spa could have been a bit warmer tho. And apart from one young waiter who made it clear to us on the last couple of days - we had done something wrong (still don't know what it was!!) - all the other staff were absolutely outstanding thank you Family Fuchs...,None,POS
“Excellent staff”,"The hotel was clean and comfortable as one would expect, but my lasting impression is of the kindness and efficiency of the staff. They advised on food and wine, arranged trips, answered questions patiently and were friendly and funny. We asked about rosti, not realising we weren't in quite the right region, but at dinner the next night there were two portions that had been specially made for us. The food was good quality. We had superb venison and lamb and excellent pasta dishes. Pike-perch, bream and salmon were also fresh and well-cooked. Local wines were around 20-24 euros a bottle and good value. Wifi was available only in reception and the little seated area off it. It would have been great to have had it throughout the hotel, particularly in the bedrooms. We were wary of railway noise and asked for a room on the other side. Room 216 had a balcony with a table and chairs, a double bed and a table with two padded benches next to the TV. A large wardrobe had plenty of hangers and there was also a second large cupboard with shelves. We had a lot of bulky luggage and backpacks; there was room for it all. NB There was no fridge in the room.",couple,POS
“A master class in customer service”,"This family run hotel is a master class in customer service, nothing is too much trouble and the staff are excellent. We arrived late due to flight problems (we ended up having to take a train from Munich) but we were not rushed in spite of arriving at the end of dinner service. We were also collected from the station - even though it was a 2 minute walk. We were halfboard and the food was very good in terms of both quality and quantity although you really do need to be skiing, snowshoeing or walking strenuously if you want to work your way through all the courses at dinner, and take full advantage of the extensive breakfast buffet. The hotel has a pleasant spa and we enjoyed some excellent sports massages. Although the Sud Tyrol is technically in Italy, the hotel and the village tend towards their Austrian heritage particularly the food (lots of meat, hearty desserts). We upgraded to a junior suite which was well worth the money with a lovely view south towards the mountains. The only slight negative is that the railway runs alongside the hotel and there is some noise if the window is open. Room Tip: Treat yourselves to a junior suite See more room tips",couple,POS
“Hospitality at it's best”,"We stayed here during a self-arranged walking holiday over the summer. What a fantastic all round experience - staff, room, food, location - everything. Our holiday was delayed due to illness but the Fuchs family did everything to accommodate us. The breakfast buffet, packed lunch for the hikes and the evening meal were all fantastic. And what a location....only writing this review now as I am hankering to go back! What a lovely valley and mountains for cycling and hiking. Can't wait to go back.",couple,POS
“Just right”,"Stayed here as part of Exodus hiking tour. Lovely friendly family hotel, nice rooms, good breakfasts and dinner with nice leisure centre. Found the Hotel very relaxing: it was perfect after a days hiking. Room Tip: away from front of building; quieter See more room tips",None,POS
